Italian,English
e,And
non,Not
che,That
di,Of
la,there
il,The
un,a
a,to
per,For
è,And
in,in
una,a
mi,me
sono,I am
ho,I have
l',L'
si,Yes
ha,has
ma,but
lo,the
cosa,What
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,as
io,I
ci,There
hai,you have
questo,This
bene,Well
qui,here
sei,six
del,of the
tu,you
solo,Alone
mio,my
al,to the
me,myself
tutto,All
c',there
te,you
era,era
della,from the
mia,my
fatto,Done
fare,Do
essere,to be
so,I know
quando,when
sì,Yes
ora,Now
lei,she
gli,The
ne,neither
oh,Oh
questa,this
detto,said
ok,ok
va,it goes
perche,Why
quello,that
mai,never
alla,at the
o,or
anche,Also
stato,state
abbiamo,we have
tutti,everyone
dei,of the
grazie,Thank you
chi,who
sta,is
molto,Very
più,more
voglio,I want
perché,Why
tuo,your
beh,Well
sia,is
nel,In the
lui,he
allora,At that time
posso,I can
piu,more
ehi,Hey
prima,Before
tua,your
suo,his
niente,Nothing
qualcosa,something
sai,you know
siamo,we are
un',a
cosi,Like this
davvero,Really
ancora,Still
hanno,they have
stai,you are
fa,does
sua,her
così,Like this
casa,home
uno,one
dove,Where
su,on
vero,True
vuoi,you want
noi,we
due,two
quindi,Therefore
dire,to say
d',d '
delle,from the
quella,that
sempre,Always
altro,other
sto,this
andare,go
ad,to
po,bit
loro,They
devo,I have to
quel,that
forse,Perhaps
li,there
proprio,own
certo,Certain
tempo,time
nella,in the
poi,Then
vi,you
credo,I believe
vita,life
cose,things
sul,on the
quanto,How much
puoi,you can
fuori,out
anni,years
cui,which
andiamo,let's go
dell',of
parte,part
visto,view
qualcuno,someone
all',at
lavoro,Work
voi,you
ciao,HI
dio,God
volta,time
dopo,After
adesso,Now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,Already
amico,Friend
ed,and
posto,place
nessuno,Nobody
via,Street
cos',so
fai,you do
signore,Gentleman
meglio,Better
cazzo,fuck
dai,come on
dal,from the
vuole,wants
sembra,it seems
giorno,day
ogni,Everything is fine
modo,way
senza,without
vedere,see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,Here you are
parlare,speak
tra,Between
mamma,mom
già,Already
sarebbe,would be
dalla,from the
troppo,too
fosse,is
possiamo,we can
ce,there is
nuovo,new
male,bad
